RECOMMANDATION,VID
"{'Offer': ['OFF0029', 'OFF0027', 'OFF0026', 'OFF0002', 'OFF0008']}",1
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0007', 'OFF0022']}",2
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",3
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",4
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0022']}",5
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0020', 'OFF0008', 'OFF0001']}",6
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",7
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",8
"{'Offer': ['OFF0031', 'OFF0008', 'OFF0001', 'OFF0007', 'OFF0005']}",9
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0024', 'OFF0006']}",10
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",11
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0010', 'OFF0024', 'OFF0006']}",12
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",13
"{'Offer': ['OFF0020', 'OFF0005', 'OFF0023', 'OFF0024', 'OFF0022']}",14
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0004']}",15
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",16
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",17
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0008']}",18
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",19
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0005', 'OFF0006', 'OFF0004']}",20
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",21
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",22
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",23
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0023', 'OFF0024', 'OFF0022']}",24
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0016', 'OFF0022']}",25
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0010', 'OFF0006']}",26
"{'Offer': ['OFF0020', 'OFF0016', 'OFF0023', 'OFF0024', 'OFF0022']}",27
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0007', 'OFF0001', 'OFF0006']}",28
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0005', 'OFF0024', 'OFF0006']}",29
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",30
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0008', 'OFF0009']}",31
"{'Offer': ['OFF0020', 'OFF0029', 'OFF0022', 'OFF0005', 'OFF0023']}",32
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0010', 'OFF0024', 'OFF0006']}",33
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0010']}",34
"{'Offer': ['OFF0031', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",35
"{'Offer': ['OFF0029', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",36
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0024', 'OFF0006', 'OFF0001']}",37
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0020', 'OFF0006', 'OFF0001']}",38
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",39
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",40
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",41
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0027', 'OFF0006']}",42
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0004', 'OFF0013']}",43
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0016', 'OFF0022']}",44
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",45
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",46
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",47
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",48
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0024', 'OFF0010', 'OFF0005']}",49
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",50
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0023', 'OFF0006', 'OFF0008']}",51
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",52
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",53
"{'Offer': ['OFF0027', 'OFF0020', 'OFF0026', 'OFF0022', 'OFF0009']}",54
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",55
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0027', 'OFF0026', 'OFF0005']}",56
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0024', 'OFF0006', 'OFF0009']}",57
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",58
"{'Offer': ['OFF0027', 'OFF0020', 'OFF0026', 'OFF0009', 'OFF0010']}",59
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",60
"{'Offer': ['OFF0005', 'OFF0006', 'OFF0001', 'OFF0022', 'OFF0027']}",61
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",62
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",63
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",64
"{'Offer': ['OFF0005', 'OFF0027', 'OFF0006', 'OFF0026', 'OFF0009']}",65
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0024', 'OFF0026', 'OFF0022']}",66
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",67
"{'Offer': ['OFF0031', 'OFF0020', 'OFF0013', 'OFF0017', 'OFF0008']}",68
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0010']}",69
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",70
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",71
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0009']}",72
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",73
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",74
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",75
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0027', 'OFF0006', 'OFF0001']}",76
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",77
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",78
"{'Offer': ['OFF0010', 'OFF0004', 'OFF0005', 'OFF0022', 'OFF0008']}",79
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",80
"{'Offer': ['OFF0027', 'OFF0023', 'OFF0024', 'OFF0026', 'OFF0022']}",81
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",82
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",83
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",84
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0004', 'OFF0006']}",85
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0023']}",86
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0004', 'OFF0013', 'OFF0008']}",87
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0008']}",88
"{'Offer': ['OFF0020', 'OFF0036', 'OFF0023', 'OFF0024', 'OFF0005']}",89
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0024', 'OFF0006', 'OFF0016']}",90
"{'Offer': ['OFF0005', 'OFF0027', 'OFF0022', 'OFF0006', 'OFF0026']}",91
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0005', 'OFF0006', 'OFF0009']}",92
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",93
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",94
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",95
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0022']}",96
"{'Offer': ['OFF0007', 'OFF0034', 'OFF0006', 'OFF0009', 'OFF0022']}",97
"{'Offer': ['OFF0029', 'OFF0020', 'OFF0013', 'OFF0015', 'OFF0005']}",98
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0013']}",99
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",100
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0005', 'OFF0006']}",101
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0024', 'OFF0004']}",102
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",103
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",104
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",105
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0019', 'OFF0020', 'OFF0013']}",106
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",107
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0009']}",108
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",109
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0006', 'OFF0008']}",110
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",111
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",112
